FIPS,ST_FIPS,CO_FIPS,DATE,TYPE,DESC
13,13,,5/2/1953 0:00,Tornado,TORNADO
22,22,,5/29/1953 0:00,Flood,FLOOD
26,26,,6/2/1953 0:00,Tornado,TORNADO
30,30,,6/6/1953 0:00,Flood,FLOODS
26,26,,6/9/1953 0:00,Tornado,TORNADO
25,25,,6/11/1953 0:00,Tornado,TORNADO
19,19,,6/11/1953 0:00,Flood,FLOOD
12,12,,10/22/1953 0:00,Flood,FLOOD
02,02,,10/30/1953 0:00,Other,SEVERE HARDSHIP
28,28,,12/6/1953 0:00,Tornado,TORNADO
06,06,,2/5/1954 0:00,Flood,FLOOD & EROSION
13,13,,3/17/1954 0:00,Tornado,TORNADO
19,19,,6/23/1954 0:00,Flood,FLOOD
25,25,,9/2/1954 0:00,Hurricane,HURRICANES
23,23,,9/13/1954 0:00,Hurricane,HURRICANES
09,09,,9/17/1954 0:00,Hurricane,HURRICANES
18,18,,10/26/1954 0:00,Flood,FLOOD
02,02,,11/10/1954 0:00,Other,SEVERE HARDSHIP
15,15,,4/1/1955 0:00,Volcano,VOLCANO
08,08,,5/25/1955 0:00,Flood,FLOOD
20,20,,5/27/1955 0:00,Tornado,TORNADO
09,09,,8/20/1955 0:00,Hurricane,"HURRICANE, TORRENTIAL RAIN & FLOODS"
25,25,,8/20/1955 0:00,Hurricane,HURRICANE & FLOODS
02,02,,12/22/1955 0:00,Other,SEVERE HARDSHIP
06,06,,12/23/1955 0:00,Flood,FLOOD
26,26,,4/5/1956 0:00,Tornado,TORNADO
16,16,,4/21/1956 0:00,Flood,FLOODS
08,08,,6/12/1956 0:00,Flood,FLOOD
22,22,,10/4/1956 0:00,Hurricane,HURRICANE
06,06,,12/29/1956 0:00,Fire,FOREST FIRE
21,21,,1/31/1957 0:00,Flood,FLOOD
15,15,,3/16/1957 0:00,Other,TIDAL WAVE
22,22,,5/16/1957 0:00,Hurricane,FLOODS & HURRICANE
29,29,,5/22/1957 0:00,Tornado,TORNADOES & FLOODS
16,16,,5/27/1957 0:00,Flood,FLOOD
05,05,,5/29/1957 0:00,Tsunami,"TORNADOES, RAIN, HAIL & FLOODS"
17,17,,6/22/1957 0:00,Flood,FLOODS
27,27,,6/22/1957 0:00,Flood,FLOODS
20,20,,9/5/1957 0:00,Flood,FLOODS
06,06,,4/4/1958 0:00,Flood,HEAVY RAINSTORMS & FLOOD
05,05,,5/15/1958 0:00,Flood,HEAVY RAINSTORMS & FLOODS
22,22,,5/20/1958 0:00,Flood,FLOODS
19,19,,7/5/1958 0:00,Flood,FLOODS
20,20,,11/6/1958 0:00,Flood,FLOODS
18021,18,021,1/29/1959 0:00,Flood,FLOOD
15,15,,8/16/1959 0:00,Hurricane,HURRICANE DOT
15,15,,1/21/1960 0:00,Earthquake,EARTHQUAKES & VOLCANIC DISTURBANCES
12,12,,3/23/1960 0:00,Other,SEVERE WEATHER CONDITIONS
31,31,,4/4/1960 0:00,Flood,FLOODS
29,29,,4/20/1960 0:00,Flood,FLOODS
15,15,,5/25/1960 0:00,Other,TIDAL WAVES
05,05,,5/28/1960 0:00,Tornado,TORNADOES & FLOODS
16,16,,7/22/1960 0:00,Fire,FIRES
12,12,,9/12/1960 0:00,Hurricane,HURRICANE DONNA
28,28,,2/27/1961 0:00,Flood,FLOODS
01,01,,2/27/1961 0:00,Flood,FLOODS
13,13,,3/2/1961 0:00,Flood,FLOODS
19,19,,3/31/1961 0:00,Flood,FLOODS
05,05,,5/16/1961 0:00,Flood,FLOODS & TORNADOES
18,18,,5/20/1961 0:00,Flood,FLOODS
29,29,,5/27/1961 0:00,Flood,FLOODS
17,17,,5/27/1961 0:00,Flood,FLOODS & TORNADOES
16,16,,6/26/1961 0:00,Flood,FLOODS
06,06,,11/16/1961 0:00,Fire,FIRE (LOS ANGELES COUNTY)
16,16,,2/14/1962 0:00,Flood,FLOODS
06,06,,3/6/1962 0:00,Flood,FLOODS
10,10,,3/9/1962 0:00,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING"
24,24,,3/9/1962 0:00,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING"
21,21,,3/12/1962 0:00,Flood,FLOODS
31,31,,5/10/1962 0:00,Flood,FLOODS
19,19,,9/5/1962 0:00,Flood,FLOODS
31,31,,9/5/1962 0:00,Flood,FLOODS
28,28,,10/10/1962 0:00,Toxic_Substances,CHLORINE BARGE ACCIDENT
06,06,,10/24/1962 0:00,Flood,SEVERE STORMS & FLOODING
22,22,,11/5/1962 0:00,Toxic_Substances,CHLORINE BARGE ACCIDENT
12,12,,12/17/1962 0:00,Flood,ABNORMALLY HIGH TIDES
16,16,,2/14/1963 0:00,Flood,FLOODS
06,06,,2/25/1963 0:00,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING"
21,21,,3/13/1963 0:00,Flood,SEVERE STORMS & FLOODING
13,13,,3/26/1963 0:00,Flood,SEVERE STORMS & FLOODING
15,15,,4/24/1963 0:00,Flood,HEAVY RAINS & FLOODING
31,31,,7/17/1963 0:00,Flood,HEAVY RAINS & FLOODING
05,05,,8/2/1963 0:00,Flood,HEAVY RAINS & FLOODING
06,06,,12/21/1963 0:00,Dam/Levee_Break,FLOOD DUE TO BROKEN DAM
18,18,,3/17/1964 0:00,Flood,SEVERE STORMS & FLOODING
21,21,,3/17/1964 0:00,Flood,SEVERE STORMS & FLOODING
05,05,,3/20/1964 0:00,Flood,SEVERE STORMS & FLOODING
02,02,,3/28/1964 0:00,Earthquake,EARTHQUAKE
06,06,,4/1/1964 0:00,Other,SEISMIC SEA WAVE
30,30,,6/9/1964 0:00,Flood,HEAVY RAINS & FLOODING
29,29,,7/8/1964 0:00,Flood,SEVERE STORMS & FLOODING
31,31,,7/20/1964 0:00,Flood,SEVERE STORMS & FLOODING
12,12,,9/8/1964 0:00,Hurricane,HURRICANE CLEO
12,12,,9/10/1964 0:00,Hurricane,HURRICANE DORA
13,13,,9/10/1964 0:00,Hurricane,HURRICANE DORA
22,22,,10/3/1964 0:00,Hurricane,HURRICANE HILDA
13,13,,11/4/1964 0:00,Flood,FLOODING
30,30,,12/18/1964 0:00,Snow,SEVERE WINTER STORM
06003,06,003,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06005,06,005,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06007,06,007,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06011,06,011,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06015,06,015,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06017,06,017,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06021,06,021,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06023,06,023,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06033,06,033,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06035,06,035,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06041,06,041,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06045,06,045,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06049,06,049,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06055,06,055,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
06057,06,057,12/24/1964 0:00,Flood,HEAVY RAINS & FLOODING
